什麼是速克伏,速克伏短程治療處方，為isoniazid 900mg合併rifapentine 900mg，每週1次，服用3個月共12個劑量之短程治療處方,速克伏
什麼是4R,潛伏結核感染治療處方，為 4 個月 daily rifampin 處方,4R
什麼是9H,潛伏結核感染治療現行處方，為 9 個月 daily isoniazid 處方,9H
什麼是DOPT,directly observed preventive therapy 直接觀察預防治療，對象為 LTBI 治療個案的都治計畫,DOPT
什麼是INH,isoniazid，抗結核病藥物,INH
什麼是QFT,QuantiFERON?-TB Gold In-Tube test （QFT-GIT），結核菌感染診斷試管組（產品名）,QFT
什麼是RMP,rifampin，抗結核病藥物,RMP
什麼是PrEP,PrEP是預防愛滋病毒感染的方式之一，民眾經醫師問診及檢驗評估沒有感染愛滋病毒且有風險行為需要服藥者，可透過穩定持續服用預防藥物，讓體內有足夠的藥物濃度來預防被愛滋病毒感染。,PrEP
什麼是PEP,"如有從事不安全危險性行為、被性侵害、共用針器或稀釋液的注射藥癮者等，而有直接接觸到疑似愛滋病毒的血液或體液，經預防性投藥之醫院(如附表<a target=""_blank"" href=""https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg"">https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg</a>)醫師評估後，給予暴露後的抗愛滋病毒預防性投藥，以避免感染愛滋病毒。

",PEP
什麼是都治,DOTS（Directly Observed Treatment， Short Course）音譯為「都治」。這策略主要目的是希望在健康照護人員或關懷員的嚴密監督下，確保結核病人規則服下每一顆藥物，同時給予支持關懷，並評估病患有無服藥、不適或副作用，協助病患如期治癒，亦即發揮「送藥到手、服藥入口、吃了再走」之精神，避免抗藥性細菌的產生，保護病人減少服藥副作用，同時也保護社會大眾、避免疾病蔓延最有效的方法。,都治
聽說最近國內外都有麻疹疫情，可以去哪裡自費打疫苗?,您可以至旅遊醫學門診諮詢或提供自費MMR疫苗接種之醫療院所，經醫師評估後接種。<a title='點擊查看自費MMR疫苗接種單位 ' target='_blank' href='https://www.cdc.gov.tw/Category/Page/0jnFJg2m6OutO4gSMVZz8Q' > 點擊查看自費MMR疫苗接種單位 </a>,麻疹-疫苗
現在日本聽說有麻疹的疫情，是不是一定要打疫苗才能去?,由於目前日本麻疹及德國麻疹疫情持續發生，建議1981年以後出生之成人，可於出發2至4週前至提供自費MMR疫苗接種之醫療院所或旅遊醫學門診諮詢，經醫師評估後接種，確保免疫力。未滿1歲兒童尚未達公費接種年齡，未建立麻疹保護力，建議盡量不要帶其前往；滿六個月未滿1歲之幼童如確實必須前往，請於出發前2週，自費接種1劑MMR疫苗。,麻疹-疫苗
如果小時候已經打過麻疹疫苗，現在還要不要再打一次?,國內有研究顯示，1981年以後出生的成人，與其他成年世代比較，麻疹抗體盛行率較低，可能因為他們是接種疫苗的世代，幼時接種疫苗所產生的抗體，隨時間而衰退，因此，依傳染病防治諮詢會預防接種建議， 1981年以後出生的成人，如為工作性質會頻繁接觸外國人者、醫療工作人員或是計畫前往有麻疹流行地區等有較高感染風險者，建議追加接種1劑MMR疫苗。如您屬於上述有較高感染風險者，建議您至提供自費MMR疫苗接種之醫療院所或旅遊醫學門診諮詢，經醫師評估後接種，以確保免疫力，預防感染。,麻疹-疫苗
聽說MMR疫苗現在有缺貨，那要怎麼預防感染到麻疹?,避免帶未滿1歲或未接種疫苗的嬰幼兒至流行地區，儘量避免出入人潮擁擠之公共場所，擔心被感染的易感族群可戴口罩，並勤洗手，避免以手碰觸口鼻等黏膜處。,麻疹-疫苗
有收到麻疹接觸者通知，要注意甚麼嗎?,麻疹個案之接觸者於自主健康管理期間（與麻疹病例最後1次接觸日起往後推算18天內），應每日早晚各量體溫1次，並詳實記錄體溫、活動史及是否出現疑似症狀，如果沒有任何不適或未出現疑似症狀如發燒、出疹、咳嗽、鼻炎、結膜炎等，仍可正常生活，但應避免出入公共場所，並儘量佩戴口罩。</br>接觸者如在自主健康管理期間出現疑似症狀，則應進行自我隔離，並電話通知衛生單位，由衛生單位安排就醫，預先規劃好動線，避免接觸到其他等候看診的人。就醫時並請主動出示健康健側通知書及全程佩戴口罩。,麻疹-疫苗
哪裡可以索取唾篩試劑?,"107年至108年自我篩檢計畫於107年12月1日啟動，發放至試劑使用完畢為止，試劑提供方式如下：<br />1. 人工發放：民眾可前往合作民間團體、衛生局(所)等支付200元費用後取得試劑。<br />2. 自動服務機。<br />3. 網路訂購超商取貨：至活動網站(<a target=""_blank"" href=""https://otc.cdc.gov.tw/buy "">https://otc.cdc.gov.tw/buy</a>)訂購後，選擇離家近的便利超商通路支付245元(試劑200元，物流費45元)領取訂購之篩檢試劑。4.詳細的試劑提供地點，可至本活動網站查詢(https://hiva.cdc.gov.tw/oraltest/Service_Machine.aspx )。",愛滋病
有不安全的性行為會不會感染到愛滋病?,不安全的性行為(沒有全程正確使用保險套及水性潤滑液)是傳染愛滋病毒的途徑之一，因此有可能會受到感染，建議若有無套性行為者，1年至少進行1次愛滋篩檢，若是多重性伴侶的民眾建議每3至6個月篩檢1次，以確認自身的感染情形。,愛滋病
哪裡有匿名篩檢的醫院?,108年度全國匿名篩檢服務醫院共有59家，另除了匿名篩檢醫院外，全國衛生局(所)及部分民間團體亦有提供匿名篩檢服務，可至疾病管制署全球資訊網 <a title='匿名篩檢' target='_blank' href='https://www.cdc.gov.tw/Category/Page/gH7NyWhq3ulASakaq5DDIQ' >匿名篩檢</a> 中查詢。,愛滋病
發生危險性行為後可以先服藥嗎?哪家醫院有提供?,1.若疑似暴露愛滋病毒，建議預防性投藥要愈早愈好，請於事發後72小時內儘速前往提供預防性投藥的醫院，由醫師進行專業評估與用藥。<br />2.由於抗愛滋病毒用藥係由感染科專科醫師開立，民眾應至有提供預防性投藥之醫院感染科門診掛號，經醫師評估後使用。醫院名單可至疾病管制署全球資訊網 <a title='非職業暴露愛滋病毒後預防性投藥' target='_blank' href='https://www.cdc.gov.tw/Category/MPage/uo89XT3izngK6IY0wv8BNg' >「非職業暴露愛滋病毒後預防性投藥」</a> 查詢。,愛滋病
聽說政府有補助PrEP，要去哪裡申請?,1.提供公費PrEP服務之醫療院所名單可至疾病管制署全球資訊網 <a title='政府補助PrEP計畫宣導專區查詢' target='_blank' href='https://www.cdc.gov.tw/Category/MPage/tXBKgpeVZ9l9929TEdZGJw' >政府補助PrEP計畫宣導專區查詢</a>。<br />2.洽疾病管制署1922防疫專線查詢就近服務醫院名單。,愛滋病
詢問外勞的健康檢查時間?,依據受聘僱外國人健康檢查管理辦法，藍領外勞入國工作，雇主須安排其辦理入國3日健檢、定期健檢及補充健檢，各類健檢辦理時程如下：<br />1. 入國3日健檢：入國後3個工作日內，至指定醫院接受健康檢查。<br />2. 定期健檢：聘僱許可發函日期於105年11月4日以前者於入國工作滿6個月、18個月及30個月之日前後30日內，至國內指定醫院辦理定期健檢，至於聘僱許可發函日期於105年11月5日以後者，則自聘僱許可生效日起，滿6個月、18個月及30個月之日前後30日內，辦理健康檢查。定期健檢辦理區間可至本署全球資訊網 <a title='外籍勞工定期健康檢查日期查詢' target='_blank' href='https://www.cdc.gov.tw/Foreigner/Index/RnhidFpzZkZVUGpId1JnQ01Fc1ptdz09' >外籍勞工定期健康檢查日期查詢</a>。<br />3. 補充健檢：藍領外勞轉換雇主或工作，或其他依本法重新核發聘僱許可，已逾1年未接受健康檢查者，雇主應自聘僱許可生效日之次日起七日內，安排其至指定醫院接受健康檢查。,外國人健檢
如果外勞健康檢查不合格怎麼辦?,依據受聘僱外國人健康檢查管理辦法，藍領外勞健康檢查結果有不合格或須進一步檢查者，雇主應安排該人員依下列時程辦理再檢查及治療：<br />1. 胸部X光肺結核檢查：疑似肺結核或無法確認診斷者，自收受健康檢查證明之次日起15日內，至指定機構再檢查。<br />2. 漢生病檢查：疑似漢生病者，自收受健康檢查證明之次日起15日內，至指定機構再檢查。<br />3. 梅毒血清檢查：於收受健康檢查證明之次日起30日內，取得完成治療證明。<br />4. 腸內寄生蟲糞便檢查：於收受健康檢查證明之次日起65日內，至指定醫院治療後再檢查並取得陰性之證明；經確診為痢疾阿米巴原蟲陽性者，須取得治療後再檢查3次均為陰性之證明。<br />雇主應於收受再檢查診斷證明書或完成治療證明之次日起15日內，依該次健檢類型送相關機關備查：<br />1. 入國3日健檢：檢具再檢查診斷證明書或完成治療證明正本文件，送勞動部勞動力發展署備查。<br />2. 定期健檢、補充健檢：檢具中央主管機關核發之外國人聘僱許可文件及再檢查診斷證明書或完成治療證明正本文件，送直轄市、縣（市）衛生主管機關備查。,外國人健檢
哪裡有外勞健康檢查的醫院?,外國人健檢指定醫院名單可至本署全球資訊網  <a title='外國人健檢指定與認可醫院名單查詢' target='_blank' href='https://www.cdc.gov.tw/Category/List/T3AjAikVx0j-UHICKB1VMw' >外國人健檢指定與認可醫院名單查詢</a>。,外國人健檢
