什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
A型肝炎會有什麼症狀？,這問題非常好！感染A型肝炎後，可能會出現發燒、全身倦怠不適、食慾不振、嘔吐及腹部不舒服症狀，幾天後發生黃疸
罹患A型肝炎的嚴重性？,A型肝炎的致死率低（約千分之三），造成死亡的情形多半為猛爆性肝炎，通常發生於老年患者或有慢性肝病患者（包括慢性B型、C型肝炎病毒感染者）
A型肝炎有什麼併發症,A型肝炎感染很嚴重時，可能造成急性肝衰竭，僅有少數病例會因猛爆性肝炎而死亡
A型肝炎有哪些高風險族群,像比如說前往A型肝炎流行地區（例如非洲、南美洲、中國大陸、東南亞及南亞地區等）旅遊或工作的人
A型肝炎傳染途徑為何？,好問題！A型肝炎經由糞口傳染。主要藉由攝入受病毒汙染的食物（包括冷凍或未徹底煮熟的食物）或水而傳播
A型肝炎潛伏期和可傳染期,A型肝炎的潛伏期約為15至50天。感染力最強的時間在產生症狀前2至3週，大多數的病患在出現黃疸後1週就不會傳染給別人了
A型肝炎流行地區有哪些,A肝是屬於全球性疾病，主要流行地區包括中南美洲、非洲、亞洲、東歐與西太平洋地區，目前尤其是東南亞、大陸等地區最嚴重
如何預防A型肝炎,接種疫苗就是最有效且安全的的預防措施！一般接種兩劑疫苗(間隔6-12個月)，免疫力就可以維持20年以上
除了接種或投藥外的A型肝炎預防方法,這問題非常好！簡單來說要注意飲水及飲食衛生，避免生飲、生食，處理生熟食需使用不同器具，避免交叉污染
何時需要進行A型肝炎的預防接種或投藥？,好問題！我建議你前往A型肝炎流行地區前兩週施打第一劑疫苗，之後間隔數月(6-12個月)可再施打第二劑疫苗
