什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎。<br />A型肝炎主要為經口(糞口)感染，簡單來說就是食用遭A型肝炎病毒汙染的食物或水而感染，所以前往衛生條件較差的地區要特別注意！。,X
A型肝炎會有什麼症狀？,這問題非常好！感染A型肝炎後，可能會出現發燒、全身倦怠不適、食慾不振、嘔吐及腹部不舒服症狀，幾天後發生黃疸。<br />症狀的嚴重程度通常隨著年齡增加而增加。大部分6歲以下的小朋友感染後沒有出現症狀或症狀輕微，而年齡較大的兒童或成人感染後，多會出現症狀。,X
罹患A型肝炎的嚴重性？,A型肝炎的致死率低(約千分之三)，造成死亡的情形多半為猛爆性肝炎，通常發生於老年患者或有慢性肝病患者(包括慢性B型、C型肝炎病毒感染者)。,X
A型肝炎有什麼併發症,A型肝炎感染很嚴重時，可能造成急性肝衰竭，僅有少數病例會因猛爆性肝炎而死亡。,X
A型肝炎有哪些高風險族群,像比如說前往A型肝炎流行地區(例如非洲、南美洲、中國大陸、東南亞及南亞地區等)旅遊或工作的人。<br />還有特殊職業如廚師及餐飲食品從業人員、醫療照護者、嬰幼兒保育工作者。<br />那患有慢性肝病、血友病、曾經移植肝臟的病人、靜脈藥癮者、男男間性行為者也要特別注意！。,X
A型肝炎傳染途徑為何？,好問題！A型肝炎經由糞口傳染。主要藉由攝入受病毒汙染的食物(包括冷凍或未徹底煮熟的食物)或水而傳播。<br />A型肝炎也可能透過人與人接觸傳染，像比如說被感染後沒洗手直接接觸其他物品或食物，或照顧病人後沒有正確洗手而造成感染。另外，不安全性行為也是傳染途徑之一。<br />雖極為罕見，A型肝炎也可能透過輸入潛伏期患者之血液或靜脈藥癮者共用針具而傳染。,X
A型肝炎潛伏期和可傳染期,A型肝炎的潛伏期約為15至50天。感染力最強的時間在產生症狀前2至3週，大多數的病患在出現黃疸後1週就不會傳染給別人了。<br />病人糞便在症狀發生前一到兩週便會有病毒出現，嬰兒與孩童甚至在感染六個月後還能在糞便中發現病毒。,X
A型肝炎流行地區有哪些,A肝是屬於全球性疾病，主要流行地區包括中南美洲、非洲、亞洲、東歐與西太平洋地區，目前尤其是東南亞、大陸等地區最嚴重。,X
如何預防A型肝炎,接種疫苗就是最有效且安全的的預防措施！一般接種兩劑疫苗(間隔6-12個月)，免疫力就可以維持20年以上。<br />我建議要注意飲水及飲食衛生，不可生飲、生食，尤其是生蠔或水產貝類，飯前、便後及處理食物前需正確洗手。照顧病人或嬰幼兒、準備食物給別人時，更應特別注意。<br />要避免口對肛門的接觸、肛交行為。,X
除了接種或投藥外的A型肝炎預防方法,,X
何時需要進行A型肝炎的預防接種或投藥？,好問題！我建議你前往A型肝炎流行地區前兩週施打第一劑疫苗，之後間隔數月(6-12個月)可再施打第二劑疫苗。<br />另外政府提供出生滿12個月以上幼兒的常規預防接種。出生滿12至15個月接種第1劑A型肝炎疫苗，間隔至少6個月接種第2劑。,X
我可以公費接種A型肝炎疫苗或投藥嗎？,目前政府針對以下對象提供公費A型肝炎疫苗接種 <br />1. 2017年(含)以後出生滿12個月以上幼兒 <br />2. 國內設籍山地鄉之鄉鎮、9個鄰近山地鄉及金馬地區，於2016年(含)以前出生滿12個月以上之學齡前幼兒 <br />3. 急性病毒性A型肝炎確定病例接觸者(包含病患之家庭成員、同住者、性伴侶，經疫調懷疑有共同感染源者)，於1972年1月1日以前出生未具A肝抗體者或1972年1月1日(含)以後出生滿12個月以上者 <br />4. 人類免疫缺乏病毒(HIV)感染者，於1977年1月1日以前出生未具A肝抗體者或1977年1月1日(含)以後出生滿12個月以上者。,X
接種A型肝炎疫苗前要經過醫師評估？,A肝疫苗是一種安全有效之疫苗，接種前必須經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定是否可以接種。,X
